Wall time,time/total_timesteps,eval/mean_reward
1670948151.24986,776499,133.664672851563
1670948170.13758,776999,29.6983680725098
1670948341.28815,781499,333.943176269531
1670948398.88952,782999,127.170600891113
1670948417.86045,783499,361.170135498047
1670948456.00733,784499,448.156951904297
1670948494.65054,785499,468.913299560547
1670948514.03443,785999,61.0866394042969
1670948533.34758,786499,465.159393310547
1670948552.60536,786999,298.111572265625
1670948609.98577,788499,321.580627441406
1670948648.20109,789499,383.310791015625
1670948686.0164,790499,298.291656494141
1670948705.2927,790999,390.887084960938
1670948724.61208,791499,99.3169021606445
1670948782.25536,792999,162.629684448242
1670948877.93368,795499,417.401763916016
1670948973.21722,797999,107.61206817627
1670948992.22587,798499,471.130523681641
1670949010.79981,798999,100.676208496094
1670949086.12101,800999,146.043319702148
1670949105.08261,801499,394.206329345703
1670949124.25181,801999,366.837219238281
1670949277.68932,805999,325.452758789062
1670949316.01394,806999,450.185974121094
1670949334.46534,807499,147.181350708008
1670949372.07921,808499,96.2760620117188
1670949487.21467,811499,39.0135917663574
1670949525.30252,812499,465.945434570313
1670949582.98898,813999,414.276611328125
1670949659.58366,815999,369.872222900391
1670949735.34251,817999,120.235168457031
1670949773.41126,818999,305.887756347656
1670949830.67136,820499,114.469009399414
1670949849.82132,820999,461.039093017578
1670949945.58119,823499,357.817962646484
1670949964.54041,823999,55.0178070068359
1670950002.819,824999,79.7247619628906
1670950041.11069,825999,213.878997802734
1670950060.33692,826499,354.759979248047
1670950079.5013,826999,154.961410522461
1670950098.63645,827499,404.651458740234
1670950136.84383,828499,190.442123413086
1670950175.0646,829499,82.1630325317383
1670950251.00086,831499,164.89892578125
1670950289.57144,832499,97.7181625366211
1670950327.59813,833499,438.198059082031
1670950384.80035,834999,430.080078125
1670950403.95802,835499,448.094268798828
1670950479.99359,837499,77.0804672241211
1670950536.47257,838999,114.072280883789
1670950574.64217,839999,207.692153930664
1670950593.61592,840499,321.76318359375
1670950631.74616,841499,198.078567504883
1670950687.59694,842999,28.541296005249
1670950705.72529,843499,117.059745788574
1670950724.71164,843999,215.631484985352
1670950743.87869,844499,98.5170288085937
1670950839.58074,846999,281.269348144531
1670950858.28684,847499,80.8379211425781
1670950877.74187,847999,102.723205566406
1670950953.34577,849999,404.069793701172
1670950972.42775,850499,365.937713623047
1670951010.91121,851499,135.030166625977
1670951048.89156,852499,132.231307983398
1670951105.76772,853999,257.343414306641
1670951143.5497,854999,63.3196487426758
1670951161.9208,855499,13.2365417480469
1670951179.96936,855999,54.9793090820313
1670951197.96986,856499,61.9156188964844
1670951312.6694,859499,47.0036277770996
1670951388.12394,861499,13.0908441543579
1670951407.15308,861999,76.9724578857422
1670951426.06023,862499,132.764297485352
1670951445.1861,862999,187.189468383789
1670951539.55479,865499,197.102172851563
1670951693.06149,869499,45.9891357421875
1670951712.64521,869999,128.196228027344
1670951788.72279,871999,91.0789947509766
1670951826.59357,872999,40.3215789794922
1670951883.59763,874499,120.335388183594
1670951902.61896,874999,146.086883544922
1670951921.1042,875499,101.600166320801
1670951939.98396,875999,162.213577270508
1670951977.88959,876999,386.688903808594
1670951996.70989,877499,66.5390930175781
1670952054.15776,878999,86.0199737548828
1670952151.69664,881499,209.438568115234
1670952171.39031,881999,43.806827545166
1670952211.15556,882999,29.9846897125244
1670952270.51209,884499,253.950347900391
1670952403.80256,887999,54.6723365783691
1670952423.14379,888499,52.1536903381348
1670952442.24687,888999,215.375534057617
1670952498.92791,890499,290.766571044922
1670952575.20805,892499,464.178131103516
1670952594.00841,892999,117.219055175781
1670952613.30095,893499,126.399780273438
1670952670.53143,894999,246.081192016602
1670952689.37834,895499,32.348949432373
1670952727.02844,896499,98.9294357299805
1670952764.86385,897499,125.419410705566
1670952802.75286,898499,81.38623046875
1670952878.04758,900499,19.8237857818604
1670952915.17837,901499,36.8091850280762
1670953028.56233,904499,33.6440887451172
1670953067.36094,905499,42.0557441711426
1670953143.66696,907499,78.7697525024414
1670953238.75565,909999,55.0434112548828
1670953315.56794,911999,58.9701156616211
1670953372.18317,913499,77.6381149291992
1670953391.3231,913999,414.525634765625
1670953429.14863,914999,103.0576171875
1670953448.44164,915499,446.048980712891
1670953486.68793,916499,462.981231689453
1670953505.76128,916999,89.9759140014649
1670953524.7939,917499,443.114288330078
1670953562.62869,918499,166.293899536133
1670953581.72199,918999,402.367645263672
1670953601.01171,919499,413.923583984375
1670953734.47729,922999,188.046447753906
1670953753.6091,923499,183.79541015625
1670953771.84742,923999,88.7040252685547
1670953790.82563,924499,390.73095703125
1670953847.92886,925999,48.4255447387695
1670954018.56011,930499,69.8764877319336
1670954094.10723,932499,4.08953332901001
1670954113.1326,932999,365.29296875
