train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,train/ent_coef,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes
2.1486756801605225,9.2742308,500.0,-21.75980567932129,81899,0.0003,1.2934527397155762,82000,0.0073003764264285564,,,,,
,,,,,,,82000,,11,7096,500.0,3.926147380000001,164
-2.3002288341522217,1.2952366,500.0,-21.621448516845703,82399,0.0003,0.24771270155906677,82500,0.007227851543575525,,,,,
-1.3282549381256104,3.7247326000000003,500.0,-21.613750457763672,82899,0.0003,0.21410256624221802,83000,0.007109476253390312,,,,,
-0.8163738250732422,6.7532082,500.0,-21.121286392211914,83399,0.0003,0.47611379623413086,83500,0.0069090863689780235,,,,,
-2.39087176322937,4.2240182,500.0,-20.522907257080078,83899,0.0003,1.2319501638412476,84000,0.006851149722933769,,,,,
,,,,,,,84000,,11,7270,500.0,3.66258304,168
0.975611686706543,1.2226702,500.0,-20.132265090942383,84399,0.0003,0.2373729646205902,84500,0.006759343668818474,,,,,
-1.7187258005142212,4.2376378,500.0,-20.06669807434082,84899,0.0003,0.959993839263916,85000,0.006576849147677422,,,,,
-0.1419951319694519,0.249911,500.0,-20.41642189025879,85399,0.0003,0.18999120593070984,85500,0.006398574449121952,,,,,
-0.11897996068000793,0.36156740000000004,500.0,-19.86345672607422,85899,0.0003,1.3269814252853394,86000,0.006498682778328657,,,,,
,,,,,,,86000,,11,7444,500.0,3.80527635,172
1.9898360967636108,2.1463571999999997,500.0,-19.565534591674805,86399,0.0003,0.20770502090454102,86500,0.006454751826822758,,,,,
-3.559210777282715,0.6526064,500.0,-18.894695281982422,86899,0.0003,2.400020122528076,87000,0.006191269028931856,,,,,
1.2486451864242554,1.3449148000000002,500.0,-19.06954574584961,87399,0.0003,0.21244123578071594,87500,0.006269646808505058,,,,,
-0.18317782878875732,0.41487159999999995,500.0,-18.651817321777344,87899,0.0003,0.19329123198986053,88000,0.006219416856765747,,,,,
,,,,,,,88000,,11,7619,500.0,3.7760915899999996,176
1.2619621753692627,0.6806205999999999,500.0,-18.780620574951172,88399,0.0003,0.23378723859786987,88500,0.006219253875315189,,,,,
-1.2807797193527222,0.595629,500.0,-18.630226135253906,88899,0.0003,0.2620207369327545,89000,0.006076089106500149,,,,,
0.05364668369293213,1.8204661999999998,500.0,-18.47083282470703,89399,0.0003,0.22971269488334656,89500,0.005926973652094603,,,,,
2.166253089904785,0.3134234,500.0,-17.56917953491211,89899,0.0003,0.15827223658561707,90000,0.006086958106607199,,,,,
,,,,,,,90000,,11,7795,500.0,3.67127544,180
-0.02482745051383972,0.6493447999999999,500.0,-17.818763732910156,90399,0.0003,0.15363483130931854,90500,0.0058389450423419476,,,,,
-4.1600847244262695,1.5326252,500.0,-17.136844635009766,90899,0.0003,0.15032744407653809,91000,0.005727189127355814,,,,,
-0.7007673382759094,1.9689405999999998,500.0,-17.137117385864258,91399,0.0003,0.15517482161521912,91500,0.005759529769420624,,,,,
-2.0737483501434326,0.7831902000000001,500.0,-16.979507446289062,91899,0.0003,0.17551186680793762,92000,0.005717467050999403,,,,,
,,,,,,,92000,,11,7969,500.0,3.7832811999999993,184
-2.4983208179473877,3.1068455999999998,500.0,-16.506431579589844,92399,0.0003,1.0325813293457031,92500,0.0056627546437084675,,,,,
0.053065210580825806,1.8564557999999998,500.0,-16.890256881713867,92899,0.0003,0.15696841478347778,93000,0.005630823317915201,,,,,
-0.6905435919761658,1.7426856000000002,500.0,-16.16484260559082,93399,0.0003,0.19382277131080627,93500,0.00557302450761199,,,,,
-0.33483630418777466,1.1514250000000001,500.0,-15.858972549438477,93899,0.0003,0.14249786734580994,94000,0.00555077800527215,,,,,
,,,,,,,94000,,11,8144,500.0,3.75923684,188
