time/total_timesteps,eval/mean_ep_length,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_reward,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean
44000,500.0,43899,-0.4135294556617737,0.0003,-30.148723602294922,3.3460810000000003,0.012565689161419868,0.2885059118270874,,,,,
44000,,,,,,,,,2.7690435454545455,88,11,3888,500.0
44500,500.0,44399,-1.7901544570922852,0.0003,-29.715499877929688,4.9973426,0.012399524450302124,0.2945292592048645,,,,,
45000,500.0,44899,-2.565260887145996,0.0003,-29.846616744995117,7.0914833999999995,0.012034685350954533,0.3863859176635742,,,,,
45500,500.0,45399,1.4928996562957764,0.0003,-29.64478302001953,3.9654019999999996,0.011901188641786575,0.29414790868759155,,,,,
46000,500.0,45899,-2.839209794998169,0.0003,-28.806682586669922,1.6352488,0.011813022196292877,0.4121207594871521,,,,,
46000,,,,,,,,,3.18419702173913,92,11,4066,500.0
46500,500.0,46399,-1.3091765642166138,0.0003,-28.40353775024414,1.4160762,0.011689740233123302,0.3510212302207947,,,,,
47000,500.0,46899,0.37404412031173706,0.0003,-28.921241760253906,1.8678827999999998,0.011360103264451027,0.9123348593711853,,,,,
47500,500.0,47399,-0.44343137741088867,0.0003,-28.223247528076172,3.7865675999999993,0.011246927082538605,1.8437538146972656,,,,,
48000,500.0,47899,1.8166804313659668,0.0003,-27.249326705932617,13.654124200000002,0.011220144107937813,1.9901585578918457,,,,,
48000,,,,,,,,,3.1215860208333335,96,11,4241,500.0
48500,500.0,48399,-1.7418334484100342,0.0003,-27.294992446899414,4.940846,0.01120833121240139,0.2801904082298279,,,,,
49000,500.0,48899,0.43998822569847107,0.0003,-27.678977966308594,4.462080200000001,0.011032036505639553,0.29450473189353943,,,,,
49500,500.0,49399,-2.703279495239258,0.0003,-26.984249114990234,5.9412834,0.01087708305567503,0.31655246019363403,,,,,
50000,500.0,49899,-0.31761378049850464,0.0003,-26.959796905517578,1.476172,0.010972371324896812,0.2736831307411194,,,,,
50000,,,,,,,,,3.2014019300000003,100,11,4416,500.0
50500,500.0,50399,-0.2443622350692749,0.0003,-26.649534225463867,1.9367784000000001,0.010723707266151905,0.2565828561782837,,,,,
51000,500.0,50899,-0.2357749491930008,0.0003,-25.87206268310547,8.4201356,0.01067125890403986,0.2138884961605072,,,,,
51500,500.0,51399,0.7139674425125122,0.0003,-26.211795806884766,2.5698856,0.010494421236217022,0.2099027782678604,,,,,
52000,500.0,51899,1.897500991821289,0.0003,-25.698047637939453,8.0955128,0.01052120327949524,0.28021007776260376,,,,,
52000,,,,,,,,,3.1444816299999996,104,11,4592,500.0
52500,500.0,52399,-1.2641162872314453,0.0003,-25.209800720214844,4.5593002,0.01027912087738514,0.27844125032424927,,,,,
53000,500.0,52899,-1.440630555152893,0.0003,-25.321186065673828,7.5931652,0.010196546092629433,1.2583484649658203,,,,,
53500,500.0,53399,1.122593879699707,0.0003,-25.38935089111328,5.674894999999999,0.009961673989892006,2.464742422103882,,,,,
54000,500.0,53899,-0.43124523758888245,0.0003,-24.77904510498047,8.078871600000001,0.009730692952871323,0.21626055240631104,,,,,
54000,,,,,,,,,3.2607569500000007,108,11,4767,500.0
54500,500.0,54399,-1.2277394533157349,0.0003,-24.472583770751953,2.675822,0.0096072843298316,0.23544420301914215,,,,,
55000,500.0,54899,-2.010284900665283,0.0003,-24.31470489501953,2.968169,0.009345701895654202,0.22390201687812805,,,,,
55500,500.0,55399,0.47306928038597107,0.0003,-24.008909225463867,5.2943014,0.008895430713891983,3.638476610183716,,,,,
56000,500.0,55899,0.8803476095199585,0.0003,-23.475563049316406,12.989670999999998,0.008684376254677773,0.2355022430419922,,,,,
56000,,,,,,,,,3.49634519,112,11,4942,500.0
56500,500.0,56399,3.3063695430755615,0.0003,-23.51820945739746,6.8624996,0.008709005080163479,0.17884761095046997,,,,,
57000,500.0,56899,2.0449326038360596,0.0003,-23.157428741455078,3.5842777999999997,0.008723460137844086,0.16930150985717773,,,,,
57500,500.0,57399,-2.361436605453491,0.0003,-22.959346771240234,4.8039038000000005,0.008581657893955708,0.18853795528411865,,,,,
58000,500.0,57899,-0.39521676301956177,0.0003,-22.713788986206055,3.4891824,0.008438880555331707,0.179559588432312,,,,,
58000,,,,,,,,,3.5940501499999993,116,11,5118,500.0
58500,500.0,58399,1.1258606910705566,0.0003,-22.724220275878906,2.4213258,0.008407126180827618,0.1807548701763153,,,,,
59000,500.0,58899,-3.566089153289795,0.0003,-22.10443115234375,2.2368296000000005,0.008253407664597034,0.15710106492042542,,,,,
59500,500.0,59399,1.2457194328308105,0.0003,-21.77117156982422,3.4104433999999997,0.008298263885080814,1.3204271793365479,,,,,
60000,500.0,59899,1.4143297672271729,0.0003,-21.856401443481445,3.0446526,0.008216147311031818,0.20750261843204498,,,,,
60000,,,,,,,,,3.94108319,120,11,5293,500.0
60500,500.0,60399,2.177076578140259,0.0003,-21.50399398803711,4.8307836,0.00808875635266304,0.1826171576976776,,,,,
61000,500.0,60899,-1.1465632915496826,0.0003,-20.995908737182617,2.8850806,0.008007964119315147,0.16165922582149506,,,,,
61500,500.0,61399,-0.5986917614936829,0.0003,-20.98325538635254,1.9136874,0.008045094087719917,0.19632531702518463,,,,,
62000,500.0,61899,-0.07736027240753174,0.0003,-20.95511245727539,0.54532,0.007863175123929977,0.18676349520683289,,,,,
62000,,,,,,,,,3.94196445,124,11,5469,500.0
62500,500.0,62399,-1.3215487003326416,0.0003,-20.42133903503418,0.45091280000000006,0.007828762754797935,0.2210126370191574,,,,,
63000,500.0,62899,0.12751197814941406,0.0003,-20.474628448486328,0.4826028000000001,0.0078066494315862656,0.15298935770988464,,,,,
63500,500.0,63399,2.2210512161254883,0.0003,-20.692012786865234,0.8096356,0.00760252121835947,0.22479459643363953,,,,,
64000,500.0,63899,2.5703256130218506,0.0003,-20.011451721191406,1.5165320000000002,0.007535495795309544,0.15937654674053192,,,,,
64000,,,,,,,,,3.7639374700000006,128,11,5645,500.0
64500,500.0,64399,-0.7670613527297974,0.0003,-20.00607681274414,0.7721744000000001,0.0075364913791418076,1.4412634372711182,,,,,
65000,500.0,64899,2.238574504852295,0.0003,-19.393917083740234,1.5078212,0.007278540637344122,0.19296398758888245,,,,,
65500,500.0,65399,-0.1137959361076355,0.0003,-19.56003189086914,2.1149512,0.0073482198640704155,0.8613927364349365,,,,,
66000,500.0,65899,-0.47290951013565063,0.0003,-19.264846801757812,0.6406036,0.007081042975187302,0.16676065325737,,,,,
66000,,,,,,,,,3.8440702699999996,132,11,5822,500.0
66500,500.0,66399,0.297839879989624,0.0003,-19.16362190246582,0.26165380000000005,0.0071023874916136265,0.20127543807029724,,,,,
67000,500.0,66899,0.10351836681365967,0.0003,-18.813621520996094,0.07094500000000001,0.006987685803323984,0.13287338614463806,,,,,
67500,500.0,67399,-0.7653481364250183,0.0003,-19.00843620300293,0.24547360000000001,0.00686738220974803,0.1375235766172409,,,,,
68000,500.0,67899,1.1524986028671265,0.0003,-18.610828399658203,0.0910622,0.006745501421391964,0.22515170276165009,,,,,
68000,,,,,,,,,3.7501643199999988,136,11,5997,500.0
68500,500.0,68399,0.21258544921875,0.0003,-18.172704696655273,0.2515936,0.006656761281192303,0.1882440149784088,,,,,
69000,500.0,68899,0.30565446615219116,0.0003,-18.664661407470703,0.05489679999999999,0.006742211990058422,0.19087587296962738,,,,,
69500,500.0,69399,1.3231663703918457,0.0003,-18.201650619506836,0.146272,0.006745353806763887,0.3996235728263855,,,,,
70000,500.0,69899,-0.048253536224365234,0.0003,-17.974994659423828,0.181745,0.006568731274455786,0.18441350758075714,,,,,
70000,,,,,,,,,3.6592245099999996,140,11,6171,500.0
70500,500.0,70399,-2.5531463623046875,0.0003,-17.922992706298828,6.524316400000001,0.006480484735220671,0.13303326070308685,,,,,
71000,500.0,70899,-1.5597147941589355,0.0003,-17.410152435302734,0.1795254,0.006662385072559118,0.131614550948143,,,,,
71500,500.0,71399,-0.3121669888496399,0.0003,-17.485794067382812,0.3765762,0.006375655997544527,0.142295703291893,,,,,
72000,500.0,71899,-0.5087438225746155,0.0003,-17.322011947631836,1.0618932,0.006389567628502846,0.13258510828018188,,,,,
72000,,,,,,,,,3.63292816,144,11,6347,500.0
72500,500.0,72399,0.5881333351135254,0.0003,-17.339996337890625,1.1670978,0.006423657294362783,0.12473925948143005,,,,,
73000,500.0,72899,-3.0654027462005615,0.0003,-17.077686309814453,1.865681,0.006395788863301277,0.11902615427970886,,,,,
73500,500.0,73399,1.0888055562973022,0.0003,-16.58414077758789,0.320004,0.006206884980201721,0.40344950556755066,,,,,
74000,500.0,73899,-0.18759894371032715,0.0003,-16.710063934326172,0.2497668,0.006147556938230991,0.861367404460907,,,,,
74000,,,,,,,,,3.4905658500000003,148,11,6523,500.0
74500,500.0,74399,-0.20238804817199707,0.0003,-16.20781707763672,0.2693144,0.006157604977488518,0.7729308605194092,,,,,
75000,500.0,74899,-0.06562334299087524,0.0003,-16.235576629638672,0.9045219999999998,0.006117746699601412,0.1371770203113556,,,,,
75500,500.0,75399,-0.4439491033554077,0.0003,-16.231904983520508,0.17817080000000002,0.006013951729983091,0.12977901101112366,,,,,
76000,500.0,75899,1.8121917247772217,0.0003,-15.80829906463623,0.1415326,0.00587889552116394,0.30398091673851013,,,,,
76000,,,,,,,,,3.3992017400000005,152,11,6696,500.0
76500,500.0,76399,1.264434814453125,0.0003,-15.594554901123047,0.8121442,0.005812227260321379,0.39661452174186707,,,,,
77000,500.0,76899,0.0365452766418457,0.0003,-16.072195053100586,0.192471,0.005943895783275366,0.09752777218818665,,,,,
77500,500.0,77399,0.17384129762649536,0.0003,-15.741551399230957,0.4496808,0.005867315456271172,0.11756039410829544,,,,,
78000,500.0,77899,-1.4544177055358887,0.0003,-15.39295768737793,0.3966548,0.00570753263309598,0.10252980887889862,,,,,
78000,,,,,,,,,3.3533040300000003,156,11,6871,500.0
78500,500.0,78399,-0.8168914318084717,0.0003,-15.319592475891113,0.8522652,0.0056065283715724945,0.19952550530433655,,,,,
79000,500.0,78899,0.7451906800270081,0.0003,-14.928613662719727,0.2583748,0.005518409889191389,0.11411857604980469,,,,,
79500,500.0,79399,-1.1480162143707275,0.0003,-15.12793254852295,0.07656660000000001,0.0053929053246974945,0.09847241640090942,,,,,
80000,500.0,79899,-2.7507846355438232,0.0003,-14.862801551818848,0.40519040000000006,0.005398143548518419,0.8166849613189697,,,,,
80000,,,,,,,,,3.372975940000001,160,11,7045,500.0
80500,500.0,80399,-1.145867109298706,0.0003,-14.604613304138184,0.3580506,0.005281467922031879,0.10181792825460434,,,,,
81000,500.0,80899,0.8892797827720642,0.0003,-14.64107894897461,0.8199342000000002,0.00524431187659502,0.09664826095104218,,,,,
81500,500.0,81399,-1.3123314380645752,0.0003,-14.27772331237793,0.7624352,0.005198956001549959,0.08904030174016953,,,,,
82000,500.0,81899,-1.38728666305542,0.0003,-14.261046409606934,1.0571789999999999,0.004991999827325344,0.15691880881786346,,,,,
82000,,,,,,,,,3.31900467,164,11,7221,500.0
